track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,nconst,primaryName,birthYear,deathYear,primaryProfession,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music From The Hbo Original Series),2023-06-23,93,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,4.0780666666666665,nm1070597,The Weeknd,1990.0,,"music_artist,actor,composer",tt2322441,movie,Fifty Shades Of Grey,Fifty Shades Of Grey,0.0,2015.0,,125.0,"Drama,Romance,Thriller",4.2,346067
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music From The Hbo Original Series),2023-06-23,93,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW,7CyPwkp0oE8Ro9Dd5CUDjW,4.0780666666666665,nm1070597,The Weeknd,1990.0,,"music_artist,actor,composer",tt5727208,movie,Uncut Gems,Uncut Gems,0.0,2019.0,,135.0,"Crime,Drama,Thriller",7.4,334343
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,92,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,4.006666666666667,nm5804729,The Neighbourhood,,,"music_artist,composer,actor",tt1872181,movie,The Amazing Spider-Man 2,The Amazing Spider-Man 2,0.0,2014.0,,142.0,"Action,Adventure,Sci-Fi",6.6,562709
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,92,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,4.006666666666667,nm5804729,The Neighbourhood,,,"music_artist,composer,actor",tt0455944,movie,The Equalizer,The Equalizer,0.0,2014.0,,132.0,"Action,Crime,Thriller",7.3,444435
Sweater Weather,The Neighbourhood,I Love You.,2013-04-22,92,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,4.006666666666667,nm5804729,The Neighbourhood,,,"music_artist,composer,actor",tt1936911,tvseries,Todd'S Pop Song Reviews,Todd'S Pop Song Reviews,0.0,2009.0,,,"Comedy,Documentary,Music",8.1,457
Yellow,Coldplay,Parachutes,2000-07-10,92,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,4.4462166666666665,nm1095892,Coldplay,,,"music_artist,composer,actor",tt1951264,movie,The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,0.0,2013.0,,146.0,"Action,Adventure,Sci-Fi",7.5,746767
Yellow,Coldplay,Parachutes,2000-07-10,92,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,4.4462166666666665,nm1095892,Coldplay,,,"music_artist,composer,actor",tt0948470,movie,The Amazing Spider-Man,The Amazing Spider-Man,0.0,2012.0,,136.0,"Action,Sci-Fi",6.9,732149
Yellow,Coldplay,Parachutes,2000-07-10,92,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,4.4462166666666665,nm1095892,Coldplay,,,"music_artist,composer,actor",tt0324554,movie,Wicker Park,Wicker Park,0.0,2004.0,,114.0,"Drama,Mystery,Romance",6.9,59823
Yellow,Coldplay,Parachutes,2000-07-10,92,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,4.4462166666666665,nm1095892,Coldplay,,,"music_artist,composer,actor",tt0278504,movie,Insomnia,Insomnia,0.0,2002.0,,118.0,"Drama,Mystery,Thriller",7.2,329444
Show Me Love,Wizthemc,Show Me Love,2025-02-07,92,https://open.spotify.com/track/5ITV0zqzjOYfFWpW0xBmRa,5ITV0zqzjOYfFWpW0xBmRa,2.9494166666666666,nm12121084,Wizthemc,,,"actor,composer,soundtrack",tt4590256,movie,He'S All That,He'S All That,0.0,2021.0,,88.0,"Comedy,Romance",4.4,30555
Show Me Love,Wizthemc,Show Me Love,2025-02-07,92,https://open.spotify.com/track/5ITV0zqzjOYfFWpW0xBmRa,5ITV0zqzjOYfFWpW0xBmRa,2.9494166666666666,nm12121084,Wizthemc,,,"actor,composer,soundtrack",tt11454722,tvseries,Generation,Genera+Ion,0.0,2021.0,2021.0,30.0,"Comedy,Drama",7.2,6191
Cruel Summer,Taylor Swift,Lover,2019-08-23,90,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr,2.9737666666666667,nm2357847,Taylor Swift,1989.0,,"music_artist,actress,composer",tt28814949,movie,Taylor Swift: The Eras Tour,Taylor Swift: The Eras Tour,0.0,2023.0,,169.0,"Documentary,Music,Musical",8.0,24160
