KeyTrack,KeyTitle,KeyArtist,TrackPopularity,TitleAverageRating,TitleNumVotes,FuzzyScore
1.0,tt1825683,123.0,95,7.3,872375,
3.0,tt14954666,217.0,93,4.4,114165,
47.0,tt1074638,6.0,86,7.8,749957,
121.0,tt4633694,176.0,83,8.4,728484,
218.0,tt2322441,78.0,79,4.2,346067,
232.0,tt2294629,101.0,78,7.4,687641,
398.0,tt1673434,54.0,67,5.6,271802,
439.0,tt3521164,11.0,62,7.6,414419,
480.0,tt10155932,44.0,52,4.4,48801,
1.0,tt6133466,123.0,95,5.2,75234,53.333333333333336
2.0,tt2442560,19.0,93,8.7,708926,50.0
4.0,tt0455944,212.0,92,7.3,444435,58.33333333333333
14.0,tt0298203,80.0,89,7.2,337730,66.66666666666667
17.0,tt2126235,208.0,89,5.7,17776,50.0
17.0,tt8045906,208.0,89,7.2,14768,50.0
19.0,tt0484740,192.0,88,6.4,24535,50.98039215686274
22.0,tt6467266,193.0,88,7.3,95381,66.66666666666667
25.0,tt12649014,83.0,88,6.8,11,50.0
34.0,tt14954666,217.0,87,4.4,114165,80.0
45.0,tt28814949,205.0,86,8.0,24160,60.0
46.0,tt6133466,123.0,86,5.2,75234,60.0
50.0,tt3088084,169.0,86,6.2,1355,50.0
50.0,tt2666270,169.0,86,7.4,8972,54.54545454545454
51.0,tt6265828,124.0,86,6.8,83789,57.14285714285714
55.0,tt1502397,42.0,86,6.5,190321,50.0
311.0,tt1502397,42.0,86,6.5,190321,50.0
56.0,tt1956620,81.0,86,5.1,120715,62.5
59.0,tt5727208,217.0,86,7.4,334343,50.0
61.0,tt1292566,24.0,86,6.1,96917,50.0
61.0,tt6802308,24.0,86,5.3,36437,57.14285714285714
63.0,tt4769836,43.0,86,5.7,53834,50.0
70.0,tt1014759,25.0,85,6.4,454916,50.0
71.0,tt5033998,129.0,85,5.0,82769,57.14285714285714
73.0,tt2224026,180.0,85,6.5,116169,57.14285714285714
73.0,tt2239822,180.0,85,6.4,203918,53.84615384615385
76.0,tt1282140,85.0,85,7.0,431110,50.0
78.0,tt1517260,102.0,85,5.8,120171,50.0
78.0,tt2109248,102.0,85,5.6,340482,50.0
78.0,tt1355644,102.0,85,7.0,473877,50.0
79.0,tt2935622,168.0,85,5.9,39563,66.66666666666666
80.0,tt2224026,180.0,85,6.5,116169,50.0
82.0,tt5033998,129.0,85,5.0,82769,52.63157894736843
83.0,tt2304933,6.0,84,5.2,121590,52.17391304347826
85.0,tt1702443,113.0,84,1.7,76523,50.0
89.0,tt28814949,205.0,84,8.0,24160,50.0
89.0,tt9411972,205.0,84,7.2,145922,50.0
96.0,tt4633694,231.0,84,8.4,728484,50.0
96.0,tt9848536,231.0,84,7.3,10301,50.0
98.0,tt3088084,169.0,84,6.2,1355,60.0
98.0,tt5222314,169.0,84,7.1,531,50.0
103.0,tt14954666,217.0,83,4.4,114165,50.0
104.0,tt1517268,74.0,83,6.8,605663,60.0
107.0,tt11286314,20.0,83,7.2,638898,53.333333333333336
110.0,tt5433140,50.0,83,5.7,134792,50.0
112.0,tt2261287,46.0,83,6.8,25561,55.55555555555556
115.0,tt2126357,107.0,83,5.8,31434,57.14285714285714
115.0,tt10559412,107.0,83,5.4,381,66.66666666666667
116.0,tt1823664,195.0,83,5.4,42138,60.0
116.0,tt3741834,195.0,83,8.0,259182,50.0
117.0,tt9376612,41.0,83,7.3,461793,57.14285714285714
117.0,tt1324999,41.0,83,4.9,262996,57.14285714285714
120.0,tt8045906,208.0,83,7.2,14768,50.0
120.0,tt6284564,208.0,83,4.1,2269,57.14285714285714
121.0,tt11083552,176.0,83,7.1,223820,50.0
124.0,tt1517268,35.0,83,6.8,605663,50.0
128.0,tt1825683,217.0,82,7.3,872375,50.0
134.0,tt6898324,141.0,82,6.8,1116,53.333333333333336
138.0,tt1621045,158.0,82,6.5,51666,50.0
138.0,tt2380307,158.0,82,8.4,647991,50.0
141.0,tt1596343,80.0,82,7.3,420136,50.0
142.0,tt2304933,6.0,82,5.2,121590,50.0
147.0,tt5222314,169.0,81,7.1,531,52.63157894736843
152.0,tt7541720,195.0,81,3.2,9452,60.0
152.0,tt2660888,195.0,81,7.0,264634,52.63157894736843
156.0,tt3554046,153.0,81,4.5,83744,50.0
156.0,tt12800524,153.0,81,5.9,11318,60.0
159.0,tt3152592,23.0,81,5.6,31467,60.0
160.0,tt1608290,121.0,81,4.7,78982,50.0
162.0,tt11286314,20.0,81,7.2,638898,50.0
170.0,tt7541720,195.0,81,3.2,9452,50.0
177.0,tt4633694,176.0,80,8.4,728484,50.0
181.0,tt5433140,50.0,80,5.7,134792,66.66666666666667
184.0,tt1262426,20.0,80,7.5,158547,50.0
187.0,tt4633694,112.0,80,8.4,728484,63.63636363636363
188.0,tt4769836,43.0,80,5.7,53834,53.333333333333336
188.0,tt0448115,43.0,80,7.0,399788,50.0
188.0,tt4630562,43.0,80,6.6,263994,51.28205128205128
189.0,tt1262426,20.0,80,7.5,158547,50.0
192.0,tt1517268,151.0,80,6.8,605663,50.0
193.0,tt28814949,205.0,80,8.0,24160,66.66666666666667
199.0,tt3717490,31.0,79,5.9,116838,72.72727272727273
199.0,tt9362722,31.0,79,8.5,452099,50.0
200.0,tt1825683,217.0,79,7.3,872375,60.0
201.0,tt1236246,22.0,79,6.8,29330,100.0
491.0,tt1236246,22.0,79,6.8,29330,100.0
206.0,tt3614530,173.0,79,4.2,8511,50.0
206.0,tt3273636,173.0,79,7.2,2142,50.0
207.0,tt3416828,109.0,79,5.7,80648,50.0
212.0,tt1292566,84.0,79,6.1,96917,50.0
217.0,tt5433138,1.0,79,5.2,171350,50.0
220.0,tt0298203,80.0,78,7.2,337730,50.0
221.0,tt5503686,139.0,78,6.3,110510,50.0
221.0,tt2203939,139.0,78,6.0,156508,50.0
227.0,tt1502397,45.0,78,6.5,190321,57.14285714285714
229.0,tt3799232,178.0,78,5.9,98620,50.0
230.0,tt9411972,205.0,78,7.2,145922,52.63157894736843
231.0,tt1517268,74.0,78,6.8,605663,66.66666666666667
232.0,tt4520988,101.0,78,6.8,207102,66.66666666666667
233.0,tt2382320,35.0,78,7.3,464669,50.0
233.0,tt8097030,35.0,78,6.9,164596,50.0
235.0,tt28814949,205.0,78,8.0,24160,50.0
237.0,tt1014759,25.0,78,6.4,454916,53.333333333333336
240.0,tt2304933,6.0,77,5.2,121590,50.0
242.0,tt9411972,205.0,77,7.2,145922,60.0
244.0,tt0462590,149.0,77,6.5,130554,50.0
246.0,tt6723592,224.0,77,7.3,628651,66.66666666666667
250.0,tt9376612,133.0,77,7.3,461793,51.61290322580645
257.0,tt1679335,114.0,77,6.4,96581,50.0
257.0,tt1637688,114.0,77,6.7,466457,57.14285714285714
262.0,tt2239822,180.0,77,6.4,203918,50.0
264.0,tt28814949,205.0,76,8.0,24160,50.0
266.0,tt1324999,54.0,76,4.9,262996,50.0
266.0,tt1673434,54.0,76,5.6,271802,50.0
268.0,tt10039344,133.0,76,5.4,49659,58.82352941176471
278.0,tt28814949,205.0,76,8.0,24160,53.333333333333336
278.0,tt1482459,205.0,76,6.4,136768,50.0
279.0,tt7991608,76.0,76,6.3,339030,50.0
280.0,tt4844150,220.0,76,5.4,5126,58.33333333333333
281.0,tt1517451,128.0,76,7.6,435560,66.66666666666666
282.0,tt6491190,93.0,76,7.4,399,50.0
283.0,tt14954666,217.0,76,4.4,114165,71.42857142857143
283.0,tt1825683,217.0,76,7.3,872375,53.333333333333336
285.0,tt2224026,180.0,75,6.5,116169,50.0
285.0,tt1245492,180.0,75,6.6,444509,57.14285714285714
290.0,tt7991608,76.0,75,6.3,339030,57.14285714285714
291.0,tt2398241,156.0,75,6.0,25817,50.0
295.0,tt8712204,184.0,75,3.6,47404,50.0
296.0,tt1956620,81.0,75,5.1,120715,50.0
297.0,tt33079176,63.0,75,9.3,13,50.0
302.0,tt14954666,217.0,74,4.4,114165,53.333333333333336
306.0,tt2017020,121.0,74,5.3,48221,50.0
55.0,tt7991608,76.0,74,6.3,339030,50.0
311.0,tt7991608,76.0,74,6.3,339030,50.0
55.0,tt1473832,76.0,74,6.4,87962,50.0
311.0,tt1473832,76.0,74,6.4,87962,50.0
312.0,tt1440129,180.0,74,5.8,263046,50.0
312.0,tt2224026,180.0,74,6.5,116169,50.0
312.0,tt2239822,180.0,74,6.4,203918,66.66666666666667
312.0,tt1245492,180.0,74,6.6,444509,50.0
314.0,tt6324278,30.0,74,7.0,44924,50.0
318.0,tt3850214,4.0,74,7.2,90547,66.66666666666667
318.0,tt1608290,4.0,74,4.7,78982,50.0
322.0,tt2361509,156.0,74,7.1,292696,50.0
334.0,tt28814949,205.0,73,8.0,24160,55.55555555555556
338.0,tt2398241,156.0,73,6.0,25817,50.0
344.0,tt6898324,141.0,72,6.8,1116,64.0
349.0,tt9848536,231.0,72,7.3,10301,53.84615384615385
350.0,tt3152592,23.0,72,5.6,31467,57.14285714285714
351.0,tt1482459,205.0,72,6.4,136768,61.53846153846154
351.0,tt1392170,205.0,72,7.2,1041403,50.0
354.0,tt2704998,73.0,71,6.9,265082,50.0
356.0,tt1608290,121.0,71,4.7,78982,50.0
356.0,tt2017020,121.0,71,5.3,48221,66.66666666666667
357.0,tt2304933,163.0,71,5.2,121590,50.0
371.0,tt2224026,180.0,69,6.5,116169,50.0
373.0,tt8851668,198.0,69,6.1,28428,57.14285714285714
375.0,tt2018069,55.0,69,5.3,9494,60.0
388.0,tt2660888,195.0,68,7.0,264634,50.0
396.0,tt21051906,14.0,67,5.4,36647,50.0
396.0,tt9466114,14.0,67,6.3,73285,50.0
405.0,tt0120148,16.0,67,6.7,73391,58.82352941176471
409.0,tt2005151,97.0,66,7.1,277188,53.333333333333336
410.0,tt2820852,64.0,66,7.1,426779,50.0
410.0,tt1905041,64.0,66,7.0,428278,50.0
412.0,tt1840309,78.0,66,6.6,504969,50.0
416.0,tt2380307,158.0,65,8.4,647991,66.66666666666667
422.0,tt1014759,25.0,65,6.4,454916,51.85185185185186
424.0,tt21051906,14.0,64,5.4,36647,60.0
426.0,tt10155932,44.0,64,4.4,48801,66.66666666666667
429.0,tt2452042,156.0,64,7.0,51595,57.14285714285714
429.0,tt2398241,156.0,64,6.0,25817,60.0
429.0,tt2361509,156.0,64,7.1,292696,60.0
432.0,tt7991608,76.0,63,6.3,339030,50.0
443.0,tt11286314,20.0,61,7.2,638898,63.1578947368421
445.0,tt4590256,30.0,61,4.4,30555,50.0
447.0,tt0443489,34.0,61,6.6,78912,52.63157894736843
448.0,tt0892782,16.0,60,6.4,182451,51.85185185185186
449.0,tt3011894,64.0,60,8.1,227949,52.17391304347826
455.0,tt1014759,25.0,58,6.4,454916,55.55555555555556
466.0,tt1502397,62.0,56,6.5,190321,50.0
472.0,tt1482459,205.0,55,6.4,136768,50.0
474.0,tt20221436,190.0,55,5.4,88408,54.54545454545454
478.0,tt3554046,89.0,53,4.5,83744,50.0
479.0,tt14954666,217.0,52,4.4,114165,50.0
479.0,tt2322441,217.0,52,4.2,346067,50.0
480.0,tt10740926,44.0,52,6.5,2079,55.55555555555556
482.0,tt20221436,190.0,52,5.4,88408,50.0
489.0,tt28814949,205.0,49,8.0,24160,57.14285714285714
489.0,tt1482459,205.0,49,6.4,136768,70.58823529411764
496.0,tt14954666,217.0,47,4.4,114165,50.0
497.0,tt5645790,108.0,46,6.3,326,52.17391304347826
477.0,tt9466114,14.0,44,6.3,73285,50.0
502.0,tt9466114,14.0,44,6.3,73285,50.0
505.0,tt1014759,25.0,42,6.4,454916,60.0
507.0,tt7016936,55.0,41,8.1,146148,100.0
508.0,tt3104988,158.0,41,6.9,200690,50.0
522.0,tt10638522,211.0,13,7.1,182559,50.0
522.0,tt1517268,211.0,13,6.8,605663,50.0
529.0,tt9376612,41.0,6,7.3,461793,52.63157894736843
532.0,tt3846674,130.0,4,7.0,132232,56.25
546.0,tt10969656,107.0,1,5.5,1890,50.0
553.0,tt1679335,114.0,0,6.4,96581,60.0
556.0,tt4068576,183.0,0,7.3,38578,57.142857142857146
556.0,tt3470600,183.0,0,7.1,202413,75.0
557.0,tt1051906,183.0,0,7.1,270595,55.172413793103445
557.0,tt4068576,183.0,0,7.3,38578,51.85185185185186
557.0,tt3470600,183.0,0,7.1,202413,50.0
557.0,tt1822253,183.0,0,6.7,120,60.0
