Genre,KeyGenre
Action,1
Adventure,2
Sci-Fi,3
Drama,4
Horror,5
Comedy,6
Thriller,7
Crime,8
Romance,9
Music,10
Documentary,11
Mystery,12
Musical,13
Animation,14
Fantasy,15
History,16
Family,17
News,18
Talk-Show,19
Biography,20
Sport,21
Reality-Tv,22
War,23
Game-Show,24
Short,25
Western,26
